word,gender,race
hab,0.053032814,0.10111699
had,-0.317990276,0.171663727
insubordination,-0.454132901,-0.120921305
haf,-0.266126418,0.463256908
hag,0.667882002,-0.108765195
duffed,-0.291734198,0.072310406
hay,-0.212965964,0.14638448
haz,0.005303281,0.424456202
beloved,-0.134197731,-0.471529111
duffel,0.090818694,0.131099353
haq,-0.117017828,-0.099808061
has,-0.229821718,0.201058201
hat,-0.350405186,0.017636684
hau,0.088829964,-0.046065259
hav,-0.089141005,0.092298648
ecovillage,0.261849519,0.178130511
rescaled,0.000331455,0.403292181
eldery,0.39675174,-0.234165067
municipal,0.15114352,0.13462669
confection,0.388133908,0.252792475
online,0.371561153,-0.017274472
palazzo,-0.04376013,0.239271017
otherworldly,-0.158508914,-0.018554063
uplisting,0.102419622,-0.123480486
dayers,-0.066450567,0.057613169
shadow,-0.422042139,0.024103469
flotsam,-0.101458671,-0.055022393
nonconsecutive,0.061982101,-0.275111964
whinning,-0.18897893,-0.130518234
alice,0.289028837,0.207524985
gangplank,-0.010048622,0.104056437
lipitor,0.03778588,0.480305703
centreback,-0.472285251,-0.037108125
shipyard,-0.05834684,0.196942975
attorney,-0.045705024,-0.297504798
crowd,-0.342625608,-0.055022393
crown,0.161418628,0.095238095
begin,-0.11280389,0.099353322
policewoman,0.684786211,-0.364043506
captive,0.179980113,0.268077601
mishit,-0.317341977,-0.08509277
fiduciary,0.162744448,0.077601411
muddler,-0.009724473,0.243974133
milliohms,0.029499503,0.252204586
perchance,-0.167585089,0.147560259
bottom,-0.044732577,0.050558495
lockdown,-0.077147488,0.102880658
adjustor,-0.109562399,0.119929453
postward,0.322174345,0.049970606
plucked,-0.111831442,0.05643739
nearsightedness,0.09247597,-0.182341651
frum,0.201193238,-0.112603967
treadmill,0.05667882,0.01175779
plucker,0.146834604,-0.016634677
monogamy,0.352005303,-0.246960972
murrelet,0.058667551,0.091122869
unequipped,-0.121555916,-0.16890595
birthmothers,0.519721578,-0.177863084
varicose,0.251905867,-0.30134357
moviedom,0.084852502,-0.438899552
