word,gender,religion,race,age,economic
went,-0.0978,-0.0106,0.0304,-0.0694,0.0443
players,-0.1362,-0.0623,0.0334,-0.0708,-0.0414
won,-0.0446,-0.0316,-0.0021,-0.0289,-0.0437
financial,0.064,-0.005,0.0232,0.0582,0.0428
news,0.0077,0.0296,0.0042,0.0237,0.0355
share,0.0439,0.0101,-0.0109,0.035,0.0223
several,0.0056,-0.0084,-0.0151,-0.0141,-0.0563
free,-0.0016,-0.0335,0.0083,-0.0341,0.0598
away,0.013,0.0144,0.0345,-0.0335,0.011
already,-0.0426,-0.0293,0.0332,-0.0039,0.0032
industry,0.0102,-0.0355,0.027,0.0101,-0.006
call,0.0334,-0.0015,0.0211,0.021,-0.0362
students,0.0796,0.0144,0.0067,0.0082,0.1075
line,-0.0176,-0.0866,0.0095,-0.0708,0.0128
available,0.0356,-0.0088,0.0364,0.0078,-0.029
making,-0.0066,0.0192,0.0179,-0.0145,0.0008
held,-0.0129,0.0138,0.0042,-0.0059,-0.0387
final,-0.023,-0.0147,0.0421,-0.0467,-0.0404
power,-0.0683,-0.0226,0.0125,-0.0575,0.0038
plan,-0.0473,0.0011,0.0441,0.0521,0.022
might,-0.0468,-0.0582,-0.0136,0.0328,-0.0122
least,-0.0327,-0.0103,0.0453,-0.0085,0.0805
look,0.0229,-0.0542,-0.0026,-0.03,-0.0612
forward,-0.0292,-0.0748,0.0457,-0.0726,-0.0503
give,-0.0343,-0.0005,-0.0034,-0.0617,-0.0017
again,-0.0594,-0.0745,-0.0078,-0.0753,0.0018
later,-0.0714,-0.0061,0.0745,-0.0204,-0.0108
full,-0.0192,-0.0445,0.0227,0.0135,-0.0963
must,-0.0051,-0.0088,-0.0003,0.0151,0.0131
things,-0.0299,-0.0856,-0.0273,-0.0063,0.018
major,-0.0317,-0.0397,0.0564,-0.0234,-0.0808
community,0.0557,-0.026,-0.0568,0.031,0.0958
announced,-0.0129,0.0111,-0.0271,0.0173,-0.0485
open,-0.0018,-0.0373,0.0105,-0.0027,-0.0501
record,-0.0533,-0.0668,-0.0138,-0.0142,-0.0122
reported,0.0206,0.0623,-0.0086,-0.0171,0.0427
court,0.0122,0.0889,0.0672,-0.0437,0.054
working,-0.0025,-0.0424,0.0386,-0.017,0.0379
able,-0.0214,-0.0013,0.0058,-0.0547,-0.03
something,0.0058,-0.0994,-0.0157,0.0216,-0.0007
