word,gender,religion,race,age,economic
me,-0.886791185,-0.026931374,0.463032054,-0.927382011,0.915879325
between,-0.240459554,-0.195800189,-0.385351843,-0.405194885,-0.470146549
play,-0.968758398,-0.904038021,0.207004453,-0.666196449,-0.504116825
help,-0.212308519,-0.362073615,-0.07284187,-0.366524579,0.822115071
market,-0.368919645,-0.315626264,-0.420576033,0.776505782,0.510164853
know,-0.856859715,-0.42112714,0.697155695,-0.8713852,0.807128429
end,-0.964055361,-0.782021033,0.572110563,-0.262289552,0.219163354
long,-0.939935501,-0.496326008,-0.034506143,-0.304854488,0.30318629
information,0.86805796,0.330939851,0.295262166,0.337916355,0.100703721
points,-0.098125504,-0.308682756,-0.653103558,0.56353909,0.268228318
does,-0.695142435,-0.41863287,0.41942472,-0.433070625,0.743760996
both,-0.643375437,-0.919037347,0.120030489,-0.020147812,-0.347470354
part,-0.137563827,-0.447283268,-0.400430828,-0.343126131,-0.296048884
around,-0.634439667,-0.100613456,0.504673647,-0.295071913,0.404606764
police,-0.635178715,0.953327104,-0.012565821,-0.770339477,0.053072262
want,-0.708378124,0.356956671,0.320856902,-0.718022632,0.255294194
based,0.597052569,0.146461417,-0.388064465,0.912558247,0.221541669
got,-0.975577802,0.050509025,0.807437718,-0.797141893,0.558447905
third,-0.877956195,-0.320850748,-0.285822563,0.43260657,-0.452177515
school,0.21957371,-0.428272887,0.587836483,-0.290655954,0.898058252
left,-0.939901908,-0.708574896,0.424519597,-0.880063786,0.762298821
another,-0.85766595,-0.375859512,-0.503869475,-0.831702904,0.018961361
country,-0.758566246,-0.135027639,-0.815382161,-0.400717593,0.911676549
need,-0.586401505,-0.138600512,-0.341391415,-0.622680855,0.897895354
best,-0.915278151,-0.878421195,-0.135631083,0.708450785,0.559197237
win,-0.862872884,-0.836423082,-0.473950854,-0.000214665,-0.231215369
quarter,-0.772944101,0.025229922,0.166967545,0.478225853,0.096077409
use,-0.55351384,0.565976491,-0.445508218,0.203359604,0.754186486
today,-0.79877721,-0.653431306,0.829782966,-0.129258794,0.086824787
same,-0.863578339,-0.539840906,-0.545236955,-0.533380355,0.456766795
public,0.459077197,0.174838932,0.521723432,-0.322763654,0.338274581
run,-0.972319269,-0.296582176,0.180286436,-0.309117115,0.046882127
set,-0.454279764,-0.412700553,-0.22678315,-0.519059155,0.00860103
month,-0.210528084,0.64658437,0.231154973,-0.286393327,-0.113665786
top,-0.71791857,-0.046447351,-0.104475826,0.494678709,-0.8395733
billion,-0.210192153,0.772192987,-0.510651029,0.815336823,0.104971656
come,-0.500167966,-0.865747607,0.242187187,-0.339108835,0.421743663
city,0.341278869,0.537353071,0.410077426,-0.07074734,0.052941943
place,-0.224905939,-0.161857894,0.456573194,0.637807053,0.127712256
night,-0.675557646,-0.198867467,0.892044771,-0.742770401,-0.173061985
six,-0.704850847,-0.323648375,0.071769567,-0.58857984,0.17684238
each,0.426932397,-0.204327895,0.661611907,-0.779846055,0.081970418
here,-0.948669712,-0.23614669,0.260280018,-0.472568923,0.77086727
group,-0.179252889,-0.228832412,0.058410559,-0.418718759,0.05991399
really,-0.738208815,-0.902318997,0.969912143,-0.653745898,0.743891314
found,0.117748875,-0.206788459,0.30826012,0.249439107,0.070730436
used,-0.759943564,0.456794374,-0.793960428,0.362250475,0.726102821
lot,-0.880341306,-0.903599838,0.852729972,-0.140329357,0.439629895
money,-0.33828272,-0.197148443,0.111726241,-0.530589714,0.045448622
put,-0.842985757,-0.59983821,0.453724877,-0.598423748,0.687854304
games,-0.975947326,-0.914082513,0.494604244,0.476384974,0.277676419
support,0.036397804,-0.698564109,-0.431625977,-0.612652949,0.737538281
program,-0.210796829,-0.610051234,-0.244893889,0.266409711,0.96865837
half,-0.579279764,-0.17261022,0.621334296,0.098774665,0.355150844
report,-0.074140016,0.557959967,0.460785494,0.483173215,-0.04122003
family,-0.021936307,0.263315792,-0.166666667,-0.828482934,-0.766299001
months,0.273675882,0.624797128,0.492397802,-0.037658315,0.329738711
number,-0.491165009,0.063542025,0.184217916,-0.114140268,-0.135622184
officials,0.115127837,0.782471844,-0.241702569,-0.627710141,0.045481202
am,-0.193496372,-0.472461912,0.84699322,-0.345303444,0.40398775
former,-0.99731255,-0.491303762,-0.612414233,-0.411634825,-0.837398374
own,-0.73901505,-0.879870568,-0.005305569,-0.640866019,0.153580504
man,-0.999563289,0.483548911,0.209331247,-0.996473366,0.174822441
too,-0.784600914,-0.432519887,0.641994624,-0.36888589,0.623444321
better,-0.940708143,-0.633308615,0.12773298,0.093309555,0.805792663
days,-0.599402042,0.322824964,0.602920528,-0.138366709,0.130677005
came,-0.759338887,-0.390724012,0.054559313,-0.776595418,0.337329771
lead,-0.585628863,-0.654476203,0.075019056,0.087729391,-0.887784164
life,0.074279215,-0.959720911,0.714045011,-0.529577724,-0.103464347
show,0.730181494,-0.390791425,0.757090705,-0.364469932,0.251547534
past,-0.751814028,-0.573682082,0.288201549,-0.366003251,0.289046719
took,-0.912758667,0.648502434,-0.041287697,-0.574289307,0.510001955
added,-0.827465735,0.334874342,-0.837003351,0.586204913,-0.360727047
expected,-0.799247514,0.516303546,-0.35164353,0.065351205,-0.571850241
called,-0.526706531,0.280725914,-0.699497367,-0.65212058,0.506320454
great,-0.957067992,-0.916913847,-0.089237275,-0.170811739,-0.273781782
services,0.536768706,-0.811716327,-0.393529599,0.289938446,0.403368737
children,0.924237179,0.454630404,-0.351005266,-0.851421387,0.97905128
hit,-0.605448804,-0.731124444,0.404741846,-0.768806158,0.541311005
area,-0.528083848,0.345792554,0.251574598,0.114882356,0.265850003
system,-0.756752217,-0.332951328,0.273639026,0.349997124,0.952107904
every,-0.335998388,-0.42325064,0.645203996,-0.514520531,0.283605916
pm,0.102072103,-0.422172037,0.715970634,0.203532187,0.401967811
big,-0.918368718,-0.78694216,0.764993782,-0.547732221,-0.931075553
service,0.078383858,-0.856410948,0.500180527,0.241212679,0.635661693
few,-0.592246708,-0.133140084,0.746700365,-0.511423227,0.523392194
per,0.232629445,0.737962917,-0.586285304,0.178737847,0.689939402
members,0.259185995,0.037230119,0.426645806,-0.823821644,-0.620475377
early,-0.757356893,-0.20530538,0.634733422,-0.39354166,-0.038164777
point,-0.537926633,-0.814716193,-0.088160204,-0.742310405,0.826676223
start,-0.968489653,-0.761089389,0.399927789,0.266639821,0.535805043
companies,0.095791504,0.22765947,0.217274441,0.749870563,0.032449339
little,-0.310736361,-0.672306863,0.953785052,-0.791008617,0.701635499
case,-0.20844531,0.130379187,-0.807563427,-0.704774755,0.663973415
ago,-0.526639344,-0.419880005,0.555622417,-0.627526143,0.702743207
local,-0.01528487,0.344071214,-0.125618318,-0.772700788,0.686974653
according,-0.074341575,0.51605764,0.070084647,0.823390669,0.136801981
never,-0.886556033,-0.65875691,0.425081237,-0.713484007,0.467355183
without,-0.805529428,0.543451532,-0.737633637,-0.704958754,0.920929172
sales,0.360714109,-0.636274774,-0.263842349,0.890352643,-0.589146083
until,-0.578003225,0.349186052,0.877281662,-0.154834555,0.501791881
went,-0.954817253,-0.136847782,0.121675292,-0.866263915,0.733628722
players,-0.99472588,-0.722461912,0.47935973,-0.240148425,-0.541504842
won,-0.673239721,-0.412599434,-0.509573959,0.311511247,-0.499093781
financial,0.502002868,-0.062558986,0.41802062,-0.044128921,-0.615193413
news,-0.304084923,0.492057247,0.934849761,-0.370971204,0.682413501
share,0.750704713,0.184576796,0.015284631,0.00069033,0.54280967
several,-0.432914539,-0.107894027,0.416576403,-0.585175872,-0.413494899
free,-0.475040312,-0.435047863,-0.095580022,0.091008457,0.944321366
away,-0.403520559,0.257856686,0.16536286,-0.562114754,0.297875806
already,-0.828574308,-0.383949036,-0.273057284,0.569464419,0.346061119
industry,0.269373424,-0.458372657,0.378946524,0.464994535,-0.114908601
call,0.263290638,-0.018167723,0.440285634,-0.96933362,0.045122825
students,0.873646209,0.257561599,0.522004252,-0.022754454,0.961523425
line,-0.76259742,-0.87107321,0.628836202,0.25438647,0.769303447
available,0.319618219,-0.114197115,-0.277525132,0.960536156,0.506157555
making,-0.604373824,0.337677667,0.852449152,0.093367083,0.483319215
held,-0.486461973,0.247036837,-0.578945269,0.06546626,-0.717414945
final,-0.474301263,-0.192935149,-0.444431147,-0.174982367,-0.534669359
power,-0.803849772,-0.298166375,-0.377852242,-0.780336717,0.5417997
plan,-0.848898146,0.020656076,-0.088399553,-0.157870527,0.620870528
might,-0.823770492,-0.689160038,0.215870341,-0.480695514,0.096761582
least,-0.469295888,-0.133376028,0.559192843,-0.33254623,0.794292044
look,-0.087980382,-0.65302683,0.675893609,-0.522064461,0.058219848
forward,-0.725812954,-0.80928947,-0.305927876,0.099810159,-0.050541142
give,-0.611965869,-0.006876095,-0.251236636,-0.29145328,0.52469538
again,-0.902848697,-0.807604153,0.87788342,-0.764114202,0.420733694
later,-0.857497984,-0.07738978,0.342961447,-0.560949431,-0.10377505
full,-0.285004031,-0.557469327,0.485497653,0.011217857,-0.437833359
must,-0.285507928,-0.114095996,-0.569969682,-0.251126989,0.500684173
things,-0.892938726,-0.865612781,0.814739038,0.006328022,0.92581612
major,-0.616870465,-0.506505326,0.318810928,0.478916182,-0.898658796
community,0.701102814,-0.342119455,0.355317527,-0.80106719,0.648465498
announced,-0.353701962,0.201790193,-0.080860061,0.886095611,-0.710993734
open,-0.438423811,-0.479641364,0.50828419,-0.250452329,0.203688017
record,-0.839928783,-0.756572738,0.276366992,0.208652131,0.137681632
reported,0.340190891,0.814980573,0.293697597,-0.056671471,-0.245766661
court,0.006775135,0.925539763,-0.610539333,-0.379189794,0.336971395
working,-0.422635044,-0.534549009,0.33562001,-0.302155847,0.247475077
able,-0.719396668,-0.015774572,-0.170576033,0.235172295,0.086792207
something,-0.707437517,-0.916441958,0.605167088,-0.684044282,0.847820421
president,-0.578843053,0.644469581,-0.579344184,-0.074825968,-0.299414841
meeting,-0.588450685,-0.403465013,-0.22199617,-0.285442669,-0.533478328
keep,-0.549684225,-0.194991236,0.095117744,-0.389800362,0.716198606
future,-0.802405267,-0.859882702,0.087335018,0.104009665,0.186388219
far,-0.747547702,-0.482607523,0.676856421,-0.530221718,0.368313025
deal,-0.938658963,-0.564109478,-0.21772778,-0.269373486,0.519156838
development,-0.342817791,-0.580962653,-0.87486038,0.31847207,-0.582880224
find,0.006874042,-0.436699474,0.607774702,-0.336256862,0.8688343
times,-0.729642569,0.126838145,0.819192041,-0.61713024,0.700723268
office,-0.031342381,0.166379777,0.000401171,0.248748778,0.049195282
led,-0.782652513,-0.79691924,-0.138822403,-0.335030206,-0.737662472
among,-0.602660575,-0.331299717,-0.611616403,0.589081286,-0.089482678
increase,-0.015251277,0.662912507,-0.572921653,0.723753092,0.443604613
whether,-0.773615963,-0.243562087,0.634532836,-0.363335276,0.140972177
cost,-0.23481591,-0.061514089,-0.233484921,-0.160906498,0.43536196
security,-0.601921526,0.956868145,-0.468685176,-0.841209482,0.08083013
job,-0.929991938,-0.541526224,0.734304168,-0.659265847,0.87642536
less,-0.422735824,0.038312103,0.480162073,0.645055514,0.176125627
head,-0.87348831,0.520631486,-0.395603957,-0.704038762,-0.460670084
seven,-0.786582908,-0.149588783,-0.210986118,-0.430678647,-0.189115012
growth,0.101627021,-0.636443306,-0.792404659,0.522924697,-0.480089068
lost,-0.605952701,-0.331164891,0.032735588,-0.462050354,0.83938229
