word,gender,eco,race
business,0.0226,-0.0838,-0.0017
five,-0.0658,0.0303,0.0031
told,-0.067,-0.0365,-0.0311
under,-0.0992,0.1055,0.0764
these,-0.006,-0.0178,0.0211
right,-0.1312,0.0321,0.0211
between,-0.013,-0.0394,0.0298
play,-0.1486,-0.0172,0.0016
help,-0.0444,0.058,-0.0563
market,-0.0098,-0.0136,0.0934
know,-0.1233,-0.0496,-0.0438
end,-0.1585,0.0043,0.0734
long,-0.0993,-0.04,0.0361
information,0.0667,-0.0472,-0.037
points,-0.0076,0.0188,0.0236
does,-0.0674,-0.0241,-0.0107
both,-0.0314,-0.0461,0.0611
part,-0.0086,-0.0062,-0.0285
around,-0.0857,0.025,0.0027
police,-0.0304,0.0227,0.0101
want,-0.1037,-0.0861,-0.0227
based,0.0521,-0.0399,0.0065
got,-0.1406,0.0388,0.0147
third,-0.0942,0.0787,-0.0507
school,0.0372,0.1222,-0.031
left,-0.0968,0.1591,0.0016
another,-0.1321,0.0233,-0.0187
country,-0.0604,0.1513,-0.0236
need,-0.0868,0.0454,-0.0116
best,-0.1035,0.0891,-0.0396
win,-0.0987,-0.0113,0.0103
quarter,-0.072,0.0822,0.0119
use,-0.0501,-0.0477,0.0404
today,-0.0894,-0.0343,0.0768
same,-0.0982,-0.0299,0.0286
public,0.028,0.035,0.0019
run,-0.126,-0.0397,0.0464
set,-0.009,0.0251,0.0048
month,-0.0137,0.0226,0.007
top,-0.0855,-0.0142,0.0294
billion,-0.037,-0.024,-0.0012
come,-0.0781,0.0242,0.0228
city,0.0356,0.0513,-0.0506
place,-0.031,0.0561,-0.0193
night,-0.0281,0.0612,-0.0093
six,-0.0629,0.0661,0.0004
each,-0.0021,0.0382,0.0191
here,-0.1355,-0.0449,0.019
group,-0.0293,-0.003,0.0173
really,-0.0914,-0.0285,-0.0159
found,0.0286,-0.0096,0.0157
lot,-0.0825,-0.0064,-0.0335
money,-0.0569,-0.0812,-0.0435
put,-0.0824,0.0737,0.016
support,-0.0266,0.022,0.0566
program,-0.0113,0.1214,-0.07
half,-0.0304,0.0912,0.0162
report,-0.0151,0.0826,0.0149
number,-0.0477,-0.0306,0.0081
officials,-0.0311,0.0719,-0.0584
former,-0.1703,0.0008,-0.0037
own,-0.035,0.0441,-0.011
too,-0.1018,0.007,0.0111
better,-0.1278,0.1492,-0.0069
came,-0.0447,0.0856,0.0211
lead,-0.0517,-0.0241,-0.0046
life,0.0261,0.0009,-0.0456
show,0.0434,0.0057,-0.0019
past,-0.0652,0.0977,-0.0024
took,-0.0594,0.1091,-0.004
added,-0.1008,-0.0405,0.0302
expected,-0.0974,0.0456,0.0144
called,-0.0409,-0.0157,0.0038
great,-0.1249,-0.0105,-0.0195
services,0.0202,0.0113,0.0154
children,0.0966,0.1642,-0.0621
hit,-0.0611,0.1035,0.0101
area,-0.0588,0.0839,-0.0256
system,-0.0567,0.0732,0.0276
every,-0.0401,0.0393,0.0066
big,-0.1096,-0.0974,0.0009
few,-0.0337,-0.0312,0.0143
per,-0.0003,0.0534,0.0061
members,-0.0036,-0.0696,-0.0044
early,-0.08,0.0906,0.0153
start,-0.152,0.0478,0.0327
little,-0.0358,0.0471,-0.0256
case,-0.0393,-0.0089,0.0427
ago,-0.0468,0.0689,0.0415
local,-0.0021,0.0039,-0.0134
according,0.0274,0.0304,0.037
never,-0.0939,0.0049,0.0123
without,-0.0761,0.1172,0.007
sales,0.0264,-0.0217,0.0263
until,-0.0842,-0.0058,0.087
went,-0.1038,0.075,0.0503
players,-0.2092,0.0138,0.0216
won,-0.0519,0.0301,0.0167
financial,0.0246,-0.0087,0.0046
news,-0.0513,0.0145,0.0033
share,0.0315,-0.0208,-0.044
several,-0.0259,-0.0116,0.0182
free,-0.0734,0.0368,0.0279
away,-0.0439,-0.0389,-0.0016
already,-0.0974,0.0296,0.0702
industry,0.0457,-0.0504,0.0457
students,0.0918,0.093,-0.0357
line,-0.0604,0.0952,0.0621
available,0.0005,-0.0506,0.0411
held,0.0041,0.0154,0.03
final,-0.0521,0.0766,0.0294
power,-0.0919,0.0371,0.0267
plan,-0.0969,-0.02,-0.0015
might,-0.1289,-0.0349,-0.0601
least,-0.0855,0.0394,-0.0167
look,-0.0453,-0.0482,-0.0198
forward,-0.0784,0.0325,-0.0195
give,-0.0818,0.0569,0.0151
again,-0.1362,0.0054,0.0233
later,-0.1079,0.0451,0.0392
full,-0.0098,-0.0501,0.0382
must,-0.0399,0.0086,-0.0373
things,-0.1041,-0.0134,-0.0433
major,-0.0462,-0.0235,0.0273
